iter	Passed	Remaining
0	0	81
1	1	75
2	2	74
3	2	70
4	3	71
5	4	70
6	5	69
7	6	69
8	6	69
9	7	67
10	8	67
11	9	66
12	9	65
13	10	63
14	11	62
15	11	62
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	16	56
22	16	56
23	17	55
24	18	54
25	19	54
26	19	53
27	20	52
28	21	52
29	22	51
30	22	51
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	29	45
39	29	44
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	34	39
46	34	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
